product_name,brand,sugars
Goldsaft Zuckerrübensirup,"Grafschafter, Grafschafter Krautfabrik, ALDI Grafschafter",66.0
Kafferep,IKEA,41.0
Snickers,Mars Incorporated,51.0
Rebuenas,Hacendado,33.4615384615385
Weiße Schokolade,"Fin Carré, lidl",52.2
Miel de Flores,Hacendado,79.0
Clarks Original Maple Syrup 180Ml,Clarks,55.0
Nido,,40.1
Pâte à tartiner,Saveurs de nos Régions,48.0
Tube caramel beurre salé,Régilait,63.0
Chocolate,Kinder,53.3
Miel,Bee’s,79.3
Dark Chocolate,Schogetten,47.0
Céréales Frosties,Kellogg's,37.0
Cake aux Fruits - Tranché,"Lidl, Sondey",34.0
Confiture Abricots,Bonne Maman,59.0
Dunkle Ganze Mandel,"Fin carré, Lidl",37.3
Celebrations,"Celebrations, Mars",55.0
Wafers Cocoa,Balconi,30.1
Tunnock's  Caramel Wafer Biscuits imp,Thomas Tunnock LTD,34.7
Nutella biscuits,Ferrero,35.8
,Twix,48.0
sucre Roux en morceaux,Béghin Say,100.0
Sucre,"Beghin say, Tereos",100.0
NESTLE DESSERT Lait,Nestlé,50.7
Kinder DUO,Kinder,35.3
Confiture 70% d'abricot,Léonce Blanc,37.0
Berry Delight Fruit & Nut Bar,Nakd,48.0
Lindt excellence mint intense,"Lindt & Sprüngli, Lindt, Lindt Excellence",47.0
بريك,Tiffany,46.2
Benco,Benco,78.0
Bitter orange fine shred marmalade,Bonne Maman,59.0
Kinder Maxi,Ferrero,53.3
Délices au Caramel,Lightbody,40.0
Tablette BIO dégustation Chocolat noir - 100g,Ivoria,31.0
Chocolate con leche Oreo,"Milka,Oreo",49.0
Choc Shot,Sweet Freedom,45.1
Mermelada de fresa,Hacendado,46.0
Green & Blacks Smooth Mint,Green & Blacks,47.0
dried mango,Aldi,66.3
Lulu La Barquette Fraise,LU,59.0
Croco,Haribo,51.0
Bio Konfitüre Erdbeere,Maribel,58.0
MADELEINE,Armor Délices,33.0
Studentenfutter,Seeberger,32.0
Datteln,"Alesto, LIDL",60.0
Blossom Honey,Hiltop Honey,76.0
miredina,Mondelez,38.0
Lulu L'Ourson Chocolat,"LU,Mondelez International",31.0
Agavesirap,"Maribel,el Tequito",75.0
NESQUIK Poudre Cacaotée boîte 500g,"Nestlé, Nesquik",75.1
Sauce soja sucrée,Kikkoman,52.0
Mentos fruit,"Mentos,Perfetti",69.0
Cereales rellenos de leche,Hacendado,37.0
Knoppers Einzelpack,Storck,34.2
Starbucks signature chocolat,Starbucks,57.6
Choco Duo,Mister Choc,58.7
LOTUS BISCOFF Speculoos Original Pocket Format Familial - 248g (16x2p),Lotus,38.1
Lindt lait extra fin,Lindt,55.0
PiCK UP ! Choco x6,TET,35.0
lait demi écrémé,Régilait,45.0
Tartelettes chocolat caramel,OLUF LORENTZEN AS,38.0
Pruneaux d'Agen dénoyautés,Maître PRUNILLE,35.0
Sirop d'agave,Sunny Bio,79.0
"Dried prunes, pitted and ready to eat",The Foodie Market,36.5
CARAMEL,Lindt,52.0
Honey,Rowse,80.8
Fairtrade Instant Hot Chocolate,Clipper,70.2
Barraani,Baraani,44.5
Chocolat instantané Façon Bistrot,Van Houten,62.0
Fourrés goût citron,Bjorg,31.0
Pâte à tartiner noisettes cacao,Lucien georgelin,53.0
Confiture extra Framboise Bio,Maribel,56.0
Cappuccino Classique,Maxwell House,43.0
SIROP D'AGAVE BIO 250mL,"Intermarché, Regain",73.8
Coke,Coca-Cola,39.0
Classic Strawberry,Aldi,60.3
Sweet chilli sauce,Asia Specialities,41.3
Sea Shells hasselpähkinäkonvehdit,J.D. Gross,47.8
tentation croque lait aux noisettes suprêmes,Aiguebelle,39.0
chocolate negro,carlotti,35.0
14 Gaufrettes saveur Cacao,"Brun, Mondelez",39.0
Chocolat Noir Amande et Écorces d'Orange,lidl jd gross,41.4
Milka Choco Mini Stars,"Milka,mondelez",35.0
Choco wafer,Milka,43.0
ColaCao Turbo Instant Cocoa Drink,ColaCaoIdilia Foods,75.0
Multifloral Manuka honey,Specially Selected,71.0
Chocolat Dessert Noir 52%,Aiguebelle,44.9
Pâte à tartiner amandes lait cacao,,57.0
Confiture abricots,Andros,40.0
Petit écolier tendre coeur au lait,"Kraft Foods,LU,Petit écolier",43.0
Alpine Milk,Milka,55.0
Trancetto cacao,Balconi,34.0
Caprice,Papadopoulos,48.0
Pâte à tartiner saveur noisette,"Carrefour,Simpl",66.0
Ferrero collection,Ferrero,33.3
Apricot Jam,Bonne Maman,59.0
Golden syrup,The Pantry,74.3
Clorets,Clorets,75.0
Choco Tom gaufrettes,Tom,37.05
Danao frz limon hh,,71.0
Sucre Poudre,Béghin SayTereos,100.0
NESQUIK Poudre Cacaotée boîte 500g,"NestléNesquik, Nestlé, Nesquik",75.1
"Gerblé - Choco Hazelnut Filled Cake, 200g (7.1oz)",Gerblé,31.0
Pain d'Epices au Miel,Brossard,36.0
Original Oreo,Oreo,35.0
Oreo,Oreo,38.0
Nutella,"Ferrero, Nutella",56.3
Granulated Sugar,Silver Spoon,100.0
Jelly Snakes,The Natural Confectionary Co.,61.0
Miel,"Family Michaud, lune de miel",80.0
Miel liquide,"Maribel, Marlene",75.1
POULAIN NOIR EXTRA 200G,Poulain,52.0
deko Nutella small,Ferrero,56.3
Noir,Nocilla,51.0
Confiture de myrtille 70%,Léonce Blanc,37.0
Chocolat au lait du Pays Alpin,"Kraft Foods, Milka",55.0
NESQUIK Poudre cacaotée boîte 1Kg + 20% offert,"Nestlé, Nesquik",75.1
Bonne Maman Strawberry Intense,Bonne Maman,39.0
Manuka Honey,Lidl,85.9
Cracotte framboise,Lu,33.0
Lait concentré sucré en tube Format Économique ♦,Régilait®,56.0
NESTLE DESSERT Noir Bio 170g,"Nestlé, Bio, Nestle dessert",43.2
Dolca chocolate negro,"Dolca,Nestlé",54.6
Cioccolato Nocciole intere,RITTER SPORT,44.0
raw fruit & nut bar,nākd,49.0
Runny Honey,Rowse,80.8
Original,"Oreo,Mondelēz",38.0
"Bonne Maman - Madeleine Milk Chocolate, 300g (10.6oz)",Bonne Maman,31.0
Fraise,Lucien Georgelin,43.0
La madeleine coque chocolat noir,Maison Colibri,32.0
Sirop de grenadine,La Maison Guiot,83.2
LOTUS BISCOFF Speculoos Original Pocket - 186g (12x2p),Lotus,38.1
Bio Vollmilch-Schokolade,Fairglobe,51.5
Бял шоколад,Milka,65.0
Crema Balsamico Classic,"Italiamo,Lidl",33.0
Crunchy cream,Ovomaltine,50.1
Quadro l'original,Cémoi,43.0
