product_code,product_name,brand,energy_kcal,energy_kj,carbohydrates,sugars,fat,saturated_fat,proteins,fiber,salt,sodium,fruits_veg_nuts,nutrition_score_fr,nova_group,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
3088541002476,Miel de France,Famille Michaud,,,,,,,,,,,0.0,19.0,2.0,,Unknown,Unknown,No
6111170000029,"Duval, Sirop De Grenadine 75CL",Duval,,,,,0.5,0.1,0.01,,,,0.0,,4.0,,Unknown,Unknown,Yes
20276522,Bio Flüssiger Honig Goldklar,"Lidl, Maribel, Marlene",,,,,,,,,,,0.0,19.0,2.0,,Unknown,Unknown,No
8445290204417,Nescafé Gold,"Nestlé,nescafe",,,,,,,,,,,0.0,,,,Unknown,Unknown,No
6111018908913,,,,,,,,,,,,,0.0,,,,Unknown,Unknown,No
3048431001958,VITTEL eau minerale naturel 50cl,Vittel,,,,,,,,,0.0013,0.00052,0.0,0.0,,,Unknown,Unknown,No
6111101001446,Asta black,,,,,,,,,,,,,,,,Unknown,Unknown,No
5111129000071,,,,,,,,,,,,,,0.0,1.0,,Unknown,Unknown,No
5060336500020,Sarsons Malt Vinegar imp,Sarson's,,,,,,,,,,,0.0,,2.0,,Unknown,Unknown,No
6111180000484,Flan,,,,,,,,,,,,0.0,,4.0,,Unknown,Unknown,Yes
6111250474917,,,,,,,,,,,,,,,,,Unknown,Unknown,No
8000070200289,CARTE NOIRE,"Carte Noire, Lavazza",,,,,,,,,,,0.0,-2.0,1.0,,Unknown,Unknown,No
8445290044853,Decaff Americano,Nescafé Azera,,,,,,,,,,,0.0,,1.0,,Unknown,Unknown,No
4003143005402,novobac,p.n.f,,,,,,,,,,,0.0,,,,Unknown,Unknown,No
3400938000009,,,,,,,,,,,,,,,,,Unknown,Unknown,No
8723300710739,Vitamine D 10,Innovit,,,,,,,,,,,0.0,,,,Unknown,Unknown,No
6111162001553,Double concentre de tomate,Delicia,,,,,,,,,,,100.0,-5.0,1.0,,Unknown,Unknown,No
6111195024178,,,,,,,,,,,,,,,,,Unknown,Unknown,No
6111184001036,"Vinaigre Alcool Colore,",National,,,,,,,,,,,0.0,,2.0,,Unknown,Unknown,No
5111438005064,,,,,,,,,,,,,,,,,Unknown,Unknown,No
6111250471572,,La Délicieuse,,1008.0,,,,,,,,,,,,,Unknown,Unknown,No
3272770093590,St Moret Ligne & Plaisir 8%  Minis,"Fromarsac, Savencia, St Moret",,551.0,5.0,5.0,8.0,5.5,10.0,,1.0,0.4,0.0,7.0,4.0,1.0,Unknown,Low Sugar,Yes
3068320124537,50CL EVIAN PLASTIQUE RECYCLE R,"Danone, Evian",,,,,,,,,0.01651,0.006604,0.0,0.0,1.0,,Unknown,Unknown,No
6111073564222,Vinaigre de table coloré,dessaux,,,,,,,,,,,0.0,,4.0,,Unknown,Unknown,Yes
8445290044822,Azera americano,Nescafé,,,,,,,,,,,0.0,,1.0,,Unknown,Unknown,No
6111126000905,قشدة طرية,CHERGUI,,,,,,,,,,,0.0,15.0,1.0,,Unknown,Unknown,No
6111260420164,SWEET,,,,,,,,,,,,,,,,Unknown,Unknown,No
6111245250939,,,,,,,,,,,,,,,,,Unknown,Unknown,No
20454456,Finement pétillante,Saguaro,,,,,,,,,0.695,0.278,0.0,0.0,4.0,,Unknown,Unknown,Yes
6111180003270,Flan japan,,,,,,,,,,,,0.0,,4.0,,Unknown,Unknown,Yes
6111195018801,chocolat,leka cream,,,,,,,,,,,,,,,Unknown,Unknown,No
6111245341026,Khayrate,,,,,,,,,,,,,,,,Unknown,Unknown,No
6111032003830,danonino,Danonino,,,,,,,,,1.5,0.6,,,,,Unknown,Unknown,No
8718951624795,,,,,,,,,,,,,,,,,Unknown,Unknown,No
80463078,,,,,,,,,,,,,,,,,Unknown,Unknown,No
8711000892091,Familial,Grand’mère,,,,,,,,,,,0.0,-2.0,1.0,,Unknown,Unknown,No
6111017042366,Mini delice amandes,Aiguebelle,,,,,,,,,,,0.0,,4.0,,Unknown,Unknown,Yes
8001480021990,,Ace,,,,,,,,,,,0.0,,,,Unknown,Unknown,No
6111242102231,muscly sghir,Jaouda,,,,,,,,,,,,,,,Unknown,Unknown,No
6926548796349,soy sauce,,,,,,,,,,,,0.0,,,,Unknown,Unknown,No
6111032009900,danone,Danone,,,,,,,,,,,,,,,Unknown,Unknown,No
8445290044891,Azera Americano,Nescafé,,,,,,,,,,,0.0,,1.0,,Unknown,Unknown,No
6111245340296,Or Blanc,,,283.0,6.0,,19.0,,12.0,,,,0.0,,4.0,,Unknown,Unknown,Yes
94360010113,NYC Bagels The original,New York Bakery,,,,,,,,,,,,,,,Unknown,Unknown,No
6111259345843,,,,,,,,,,,,,,,,,Unknown,Unknown,No
6111246721971,Creem cheese,,,,,,,,,,,,0.0,,3.0,,Unknown,Unknown,No
6118000040354,Doliprane,,,,,,,,,,,,,,,,Unknown,Unknown,No
6111250471206,raouia,,,,,,,,,,,,,,,,Unknown,Unknown,No
6111032009962,Panna Cotta,Danette,,,,,,,,,,,1.59801136363637,,4.0,,Unknown,Unknown,Yes
6111207002149,java timor 45g,,,,,,,,,,,,,,,,Unknown,Unknown,No
6111099000162,,,,,,,,,,,,,0.0,,,,Unknown,Unknown,No
6111245593111,,,,,,,,,,,,,0.0,,,,Unknown,Unknown,No
4005900890504,,,,,,,,,,,,,,,,,Unknown,Unknown,No
8643729134216,8643729134216,,,,,,,,,,,,,,,,Unknown,Unknown,No
6111246250075,Rafiaa,,,,,,,,,,,,0.0,,,,Unknown,Unknown,No
6111246203330,,,,,,,,,,,,,0.0,,,,Unknown,Unknown,No
6291003092497,BREAKSTA Tiffany,wafer sandwich,,,,,,,,,,,,,,,Unknown,Unknown,No
3600540539397,Ultra doux,,,,,,,,,,,,4.55162741843651e-05,,4.0,,Unknown,Unknown,Yes
6191540700087,eau minérale naturelle,Fourat,,,0.0,,0.0,0.0,0.0,,55.3,22.12,0.0,0.0,1.0,,Unknown,Unknown,No
6111242882041,Rafii,,,,,,,,,,,,,,,,Unknown,Unknown,No
6111024001028,,,,,,,,,,,,,,,,,Unknown,Unknown,No
7622202013638,Philadelphia original,Philadelphia,,,,1.4,6.1,,,,0.225,0.09,,,,,Unknown,Low Sugar,No
6111246954652,,,,,,,,,,,,,,,,,Unknown,Unknown,No
8119000253223,,,,,,,,,,,,,,,,,Unknown,Unknown,No
6111267090094,,,,,,,,,,,,,0.0,,4.0,,Unknown,Unknown,Yes
1117404,Muesli frutas,Hacendado,,,,,,,,,,,,,,,Unknown,Unknown,No
6281006408708,Vaselene,,,,,,,,,,,,0.0,,4.0,,Unknown,Unknown,Yes
5053990161935,Barbeque,Pringles,,,,,,,,,,,0.0,,4.0,,Unknown,Unknown,Yes
8695077006646,Ilkgün,,,,,,,0.0,,,,,0.0,,4.0,,Unknown,Unknown,Yes
6111128000736,Aïn saïss,,,,,,,,,,,,0.0,0.0,1.0,,Unknown,Unknown,No
7640154260474,Marlboro Gold,Marlboro,,,,,,,,,,,,,,,Unknown,Unknown,No
4084500526754,,,,,,,,,,,,,,,,,Unknown,Unknown,No
6111017047798,,Aiguebelle,,,,,,,,,,,,,,,Unknown,Unknown,No
3518070012078,Novalac lait 1er age,Novalac,,,,,,,,,0.0,0.0,0.0,,4.0,,Unknown,Unknown,Yes
6111032002413,Moufid 7mr,Danone,,,,,,,,,,,,,,,Unknown,Unknown,No
6111265930354,,,,,,,,,,,,,,,,,Unknown,Unknown,No
6111242103863,beurre jaouda 1kg,Jaouda,,,,,82.0,,,,,,,,2.0,,Unknown,Unknown,No
8001841769189,,,,,,,,,,,,,,,,,Unknown,Unknown,No
5055953900292,Gunpowder Thé Vert Nature,TWININGS,,,,,,,,,,,0.0,0.0,1.0,,Unknown,Unknown,No
6118000240044,,,,,,,,,,,,,,,,,Unknown,Unknown,No
10596045,,,,,,,,,,,,,,,,,Unknown,Unknown,No
6111029000064,sucre granulé,,,,,,,,,,,,,,,,Unknown,Unknown,No
6118000010029,,,,,,,,,,,,,0.0,,,,Unknown,Unknown,No
6111026121717,,,,,,,,,,,,,,,,,Unknown,Unknown,No
6111245341422,FONDU Khayrat 64p,,,,,,,,,,,,,,,,Unknown,Unknown,No
6111248360376,Eau mineral 33cl aman,,,,,,,,,,,,0.0,0.0,1.0,,Unknown,Unknown,No
3088540502298,Miel l'apiculteur de nos terroirs,Michaud Yves,,,,,,,,,,,0.0,19.0,2.0,,Unknown,Unknown,No
9002515600530,Cocktail Tropical Multivitaminé,Pago,,207.0,11.0,11.0,0.5,0.1,0.5,,0.0,0.0,99.625,6.0,1.0,1.0,Unknown,Moderate Sugar,No
6111232000974,,,,,,,,,,,,,,,,,Unknown,Unknown,No
6111032001393,Danone,Danone,,,,,,,,,,,,,,,Unknown,Unknown,No
6221155025265,,,,,,,,,,,,,,,,,Unknown,Unknown,No
6111259091801,,,,,,,,,,,,,0.0,,4.0,,Unknown,Unknown,Yes
8480000795946,Magnesio + Vitaminas B1 B6 B12 sabor Naranja,Deliplus,,,,,,,,,,,1.44230769230769,,4.0,,Unknown,Unknown,Yes
5000111043991,Original HP Sauce,HP Foods,,517.0,28.3,23.1,0.1,0.0,0.9,,1.3,0.52,53.4912109375,12.0,4.0,0.82,Unknown,Moderate Sugar,Yes
6111259345782,6111259345782,,,,,,,,,,,,,,,,Unknown,Unknown,No
