brand,product_code
Crosta And Mollica,1
Crosta and mollica,1
Crosta&Mollica,1
Croustipate,3
Crownfield,36
Crownfield (Lidl),1
Crownfield - Lidl,1
"Crownfield, Lidl",13
"Crownfield, Lidl, Nordgetreide",1
"Crownfield, Lidl, Nutrisun",1
"Crownfield, Master crumble",1
"Crownfield, Simply Somptous",1
"Crownfield,Bio Organic,Lidl",1
"Crownfield,Lidl",5
"Crownfield,Lidl,Brüggen",3
"Crownfield,Lidl,Nordgetreide",2
"Cruesli, PepsiCo, QUAKER",1
"Cruesli, QUAKER",2
"Cruesli,PepsiCo,QUAKER,Quarker",1
Crunchmaster,1
"Crusti Croc, Snack Day",1
"Crusti Frais, Toque du Chef",1
"Crème Dessert, MONT BLANC",2
Créaline,6
Cucina,7
Cully & Sully,1
Cully&Sully,1
Cully&sully,1
"Curly, Intersnack, Vico",4
"Curly, Vico",1
Cuétara,5
"Cuétara, Krit",1
Cypressa,1
CÉRÉAL BIO,1
Céliane,1
Cémoi,1
Céréal,1
Céréal BIO,6
Céréal Bio,33
Céréal bio,5
"Céréal,Céréal Bio",1
Cérébos,2
"Céréco, Terres et Céréales bio",1
"Côte D’Or, Mondelez",1
Côte d'Or,9
"Côte d'Or, Fraft Foods",1
"Côte d'Or, Mondelez",1
"Côte d'Or, Mondelez, Mondelez International",1
"Côte d'Or, Mondelēz",1
"Côte d'Or,Mondelez International",1
"Côte d'Or,Mondelēz",1
"Côte d'or,Kraft Foods",1
"Côte d'or,Mondelez",1
"Côte d’or, Mondelez",1
"Côté d'Or, Mondelez",1
Cœur de Lion,1
D'aucy,14
"D.P.F.F.,Danone,Danone Produits Frais France",1
DACACLA,1
DANONE,5
DANONE AS,3
"DANONE, Gervais, Gervais suisse nature 145165",1
DARI,1
DENYA,1
"DESPERADOS, HEINEKEN",1
"DIPA, Moser Roth",1
"DM, Na",1
"DM,mivolis (dm)",1
"DMK, Milsani, Aldi",1
DOCCAS FOOD S.L.U.,1
DR KARG'S,2
Daco Bello,3
Daddy,7
"Daily's,STAMFORD STREET CO.",1
Dairy Manor,2
"Dairy Manor, Morning Fresh",1
Dairylea,3
Daisy,1
Dakatine,2
Dakota,1
Damiano,2
Danao,1
Danette,2
"Danette, Danette creme dessert, Danone",2
"Danette,Danette mousse,Danone",1
"Danette,Danone",1
Danon,1
Danone,75
"Danone, Alpro",1
"Danone, Danone jockey nature",2
"Danone, Danone of the world",1
"Danone, Danone set plain",2
"Danone, Evian",1
"Danone, Fjord, Fjord nature",2
"Danone, Gervais, Gervais suisse nature",1
"Danone, Hipro",1
"Danone, Jockey, Jockey fruits",1
"Danone, Jockey, Jockey natural",1
"Danone, Les 2 vaches",2
"Danone, Light & Free",1
"Danone, Veloute, Veloute aux fruits, Velouté Fruix",1
"Danone, Velouté, Velouté nature",1
"Danone,Actimel",1
"Danone,Activia",2
"Danone,Hipro,Hipro spoon",1
"Danone,LIGHT & FREE",1
"Danone,La Salvetat",1
"Danone,Volvic",1
Danonino,1
Danpack,1
Danube,1
Dari,2
